"","date","allMean","sd"
"317","2017-11-27",-0.0634478,0.453981085173336
"318","2017-11-28",-0.0768739,0.445375545207401
"320","2017-11-29",-0.1548297,0.452049691016275
"321","2017-11-30",-0.0431083,0.432397290510833
"316","2017-12-01",-0.0542918,0.415753838698767
"322","2017-12-02",-0.061842,0.409754037534714
"319","2017-12-03",-0.0133657,0.447646891705404
"323","2017-12-04",-0.0267264,0.432388968687963
"326","2017-12-05",-0.0264187,0.403843984529063
"325","2017-12-06",-0.0181655,0.451149064145932
"328","2017-12-07",-0.036766,0.421038047311641
"327","2017-12-08",-0.0603078,0.430499811938588
"329","2017-12-09",-0.0175313,0.467105870622828
"324","2017-12-10",-0.0909243,0.452452908753508
"332","2017-12-11",-0.1197034,0.459296716587916
"333","2017-12-12",-0.120524,0.446293316355959
"336","2017-12-13",-0.0544551,0.431372603550562
"334","2017-12-14",-0.0846759,0.421462747949555
"335","2017-12-15",-0.0526676,0.434909784472872
"331","2017-12-16",-0.0531688,0.418289708798292
"330","2017-12-17",-0.0402134,0.433023283554637
"343","2017-12-25",0.0479092,0.457927418959992
"338","2017-12-26",-0.0685823,0.449501823730127
"337","2017-12-27",0.0314443,0.459323583269475
"342","2017-12-28",0.0217597,0.445223647065057
"341","2017-12-29",-0.0390253,0.441467236575841
"339","2017-12-30",-2.52999999999997e-05,0.428735231057479
"340","2017-12-31",0.0585372,0.483456161959034
"350","2018-01-01",-0.0464985,0.466964241872705
"345","2018-01-02",-0.031823,0.449093029461603
"347","2018-01-03",-0.0899781,0.446549731015919
"344","2018-01-04",-0.0697132,0.414618432906401
"346","2018-01-05",-0.0222746,0.433754531474704
"349","2018-01-06",-0.0309748,0.442709093497028
"348","2018-01-07",-0.0254669,0.436232781682429
"357","2018-01-08",-0.0218676,0.417424247271574
"352","2018-01-09",0.0085852,0.450600881669089
"354","2018-01-10",-0.0267355,0.402722764379852
"355","2018-01-11",-0.0768899,0.442056701553081
"351","2018-01-12",-0.1144068,0.431339580787296
"353","2018-01-13",-0.1033424,0.449538384592729
"356","2018-01-14",-0.0780989,0.442707660594201
"361","2018-01-15",-0.0747831,0.449379290604707
"362","2018-01-16",-0.0121282,0.452295563237978
"363","2018-01-17",-0.0171332,0.450360411379331
"360","2018-01-18",-0.083005,0.43624505371981
"358","2018-01-19",-0.0446638,0.436573285817582
"364","2018-01-20",0.0309132,0.446190769072781
"359","2018-01-21",-0.0714274,0.421589786746833
"370","2018-01-22",-0.0573548,0.435471065005426
"367","2018-01-23",-0.0714682,0.44640386101462
"365","2018-01-24",-0.0050051,0.447922513459627
"368","2018-01-25",-0.0211684,0.427831709812912
"371","2018-01-26",-0.0248464,0.468794287600692
"369","2018-01-27",-0.0592475,0.456350291304553
