president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Donald Trump,All polls,4/19/2018,40.21317,44.87442,35.55192,54.22119,58.32585,50.11653,4/19/2018 12:41
Donald Trump,Voters,4/18/2018,41.69412,46.22885,37.15939,53.90058,57.84749,49.95366,4/18/2018 9:43
Donald Trump,Adults,4/18/2018,39.05623,42.33661,35.77585,55.20915,59.3653,51.05301,4/18/2018 9:43
Donald Trump,All polls,4/18/2018,40.16125,44.84117,35.48133,54.26796,58.45684,50.07909,4/18/2018 9:43
Donald Trump,Voters,4/17/2018,42.33051,46.81221,37.8488,53.1986,57.29778,49.09941,4/17/2018 17:31
Donald Trump,Adults,4/17/2018,39.39812,42.71526,36.08098,54.94127,59.34372,50.53882,4/17/2018 17:31
Donald Trump,All polls,4/17/2018,40.59293,45.18649,35.99938,53.83203,58.21732,49.44674,4/17/2018 17:31
Donald Trump,Voters,4/16/2018,42.53479,47.18883,37.88074,52.87267,57.04359,48.70174,4/16/2018 13:04
Donald Trump,Adults,4/16/2018,39.45117,42.79286,36.10949,54.69387,59.10513,50.28261,4/16/2018 13:04
Donald Trump,All polls,4/16/2018,40.70876,45.41038,36.00714,53.57156,57.97384,49.16928,4/16/2018 13:04
Donald Trump,Voters,4/15/2018,41.82263,46.3618,37.28346,53.19533,57.33787,49.05279,4/15/2018 10:59
Donald Trump,Adults,4/15/2018,39.45118,42.83246,36.06991,54.83865,59.29802,50.37927,4/15/2018 10:59
Donald Trump,All polls,4/15/2018,40.59587,45.09284,36.09891,53.78901,58.11352,49.4645,4/15/2018 10:59
Donald Trump,Adults,4/14/2018,39.51859,43.20747,35.82971,54.07335,58.8567,49.29,4/15/2018 10:54
Donald Trump,Voters,4/14/2018,41.82263,46.3618,37.28346,53.19533,57.33787,49.05279,4/15/2018 10:54
Donald Trump,All polls,4/14/2018,40.77415,45.50312,36.04517,53.20907,57.57654,48.84159,4/15/2018 10:53
Donald Trump,Voters,4/13/2018,41.82263,46.3618,37.28346,53.19533,57.33787,49.05279,4/13/2018 16:29
Donald Trump,Adults,4/13/2018,39.51859,43.20747,35.82971,54.07335,58.8567,49.29,4/13/2018 16:29
Donald Trump,All polls,4/13/2018,40.77415,45.50312,36.04517,53.20907,57.57654,48.84159,4/13/2018 16:29
Donald Trump,Adults,4/12/2018,39.33269,43.19028,35.47509,54.10183,59.04041,49.16325,4/12/2018 21:19
Donald Trump,Voters,4/12/2018,41.77796,46.2894,37.26652,53.09574,57.14357,49.04791,4/12/2018 21:19
Donald Trump,All polls,4/12/2018,40.63083,45.3984,35.86325,53.26645,57.69145,48.84146,4/12/2018 21:19
Donald Trump,Voters,4/11/2018,41.79477,46.19939,37.39015,53.2348,57.33949,49.13011,4/11/2018 15:27
Donald Trump,Adults,4/11/2018,39.21613,42.83835,35.59392,54.18848,59.23921,49.13775,4/11/2018 15:27
Donald Trump,All polls,4/11/2018,40.6097,45.32001,35.89938,53.29696,57.78765,48.80626,4/11/2018 15:27
Donald Trump,Voters,4/10/2018,41.75703,46.24847,37.26559,53.15528,57.17596,49.1346,4/10/2018 15:52
Donald Trump,Adults,4/10/2018,39.34561,42.95245,35.73876,54.23932,58.78645,49.69218,4/10/2018 15:52
Donald Trump,All polls,4/10/2018,40.60616,45.30262,35.90969,53.35361,57.63873,49.06849,4/10/2018 15:52
Donald Trump,Voters,4/9/2018,41.16166,45.75655,36.56676,54.16276,58.16358,50.16194,4/9/2018 18:18
Donald Trump,Adults,4/9/2018,39.34561,42.95245,35.73876,54.23932,58.78645,49.69218,4/9/2018 18:18
Donald Trump,All polls,4/9/2018,40.23806,45.03144,35.44468,53.8853,58.19486,49.57573,4/9/2018 18:17
Donald Trump,Adults,4/8/2018,39.02662,42.63965,35.41358,54.37126,58.62477,50.11775,4/9/2018 9:36
Donald Trump,Voters,4/8/2018,41.01259,45.40462,36.62057,54.23832,58.18184,50.2948,4/9/2018 9:37
Donald Trump,All polls,4/8/2018,39.96867,44.67983,35.2575,53.99965,58.11328,49.88602,4/9/2018 9:35
Donald Trump,All polls,4/7/2018,39.96867,44.67983,35.2575,53.99965,58.11328,49.88602,4/9/2018 9:36
Donald Trump,Voters,4/7/2018,41.01259,45.40462,36.62057,54.23832,58.18184,50.2948,4/9/2018 9:37
Donald Trump,Adults,4/7/2018,39.02662,42.63965,35.41358,54.37126,58.62477,50.11775,4/9/2018 9:36
Donald Trump,Voters,4/6/2018,41.01259,45.40462,36.62057,54.23832,58.18184,50.2948,4/6/2018 15:45
Donald Trump,Adults,4/6/2018,39.02662,42.63965,35.41358,54.37126,58.62477,50.11775,4/6/2018 15:45
Donald Trump,All polls,4/6/2018,39.96867,44.67983,35.2575,53.99965,58.11328,49.88602,4/6/2018 15:45
Donald Trump,Adults,4/5/2018,39.407,42.91302,35.90098,54.10432,58.29636,49.91229,4/5/2018 14:01
Donald Trump,Voters,4/5/2018,41.3074,45.5583,37.0565,54.02983,57.9053,50.15437,4/5/2018 14:01
Donald Trump,All polls,4/5/2018,40.22276,44.79292,35.6526,53.80377,57.85802,49.74953,4/5/2018 14:01
Donald Trump,Voters,4/4/2018,41.36893,45.80077,36.9371,54.05376,58.0721,50.03542,4/4/2018 22:10
Donald Trump,Adults,4/4/2018,39.37093,42.79845,35.94341,54.10816,58.35041,49.86591,4/4/2018 22:10
Donald Trump,All polls,4/4/2018,40.30183,45.00934,35.59433,53.75499,57.90125,49.60874,4/4/2018 22:10
Donald Trump,Voters,4/3/2018,41.39609,45.58278,37.2094,53.92669,57.81366,50.03971,4/3/2018 17:25
Donald Trump,Adults,4/3/2018,39.56424,43.00368,36.12479,53.97991,58.23304,49.72677,4/3/2018 17:25
Donald Trump,All polls,4/3/2018,40.39435,44.82014,35.96857,53.6718,57.73872,49.60488,4/3/2018 17:25
